date,startup_name,industry,sub_vertical,city,investors,investment_type,amount_usd,year,month
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0,2019.0,6.0
2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt,3584000.0,2019.0,6.0
2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0,2019.0,6.0
2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0,2019.0,5.0
2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,2019.0,5.0
2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0,2019.0,5.0
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0,2019.0,5.0
2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed,140000000.0,2019.0,5.0
2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,2019.0,5.0
2019-05-31,Bira91,Food and Beverage,Brewery,Delhi,Sixth Sense Ventures,Series B,5600000.0,2019.0,5.0
2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0,2019.0,4.0
2019-04-12,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0,2019.0,4.0
2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,2019.0,4.0
2019-04-13,Tripoto,Social Media,Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,2019.0,4.0
2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed,200000.0,2019.0,4.0
2019-04-11,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed,3500000.0,2019.0,4.0
2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0,2019.0,4.0
2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,2019.0,4.0
2019-04-10,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/Angel,307000.0,2019.0,4.0
2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,2019.0,4.0
